id,author,date_posted,title,udacity,content
13,Stéphane Adéfémi NDOUR,2019-11-22 0:00:00,how Many Candidates will pass to phase 2?,Jordan.Udacity,your classmates are right here - 1600! @Stéphane Adéfémi NDOUR
14,Ant,2019-11-22 0:00:00,What can we do to improve our chances of moving on to the next phase?,Jordan.Udacity,The two primary criteria to moving on to the next phase would be: course completion and community contribution.
17,Asad Arshad,2019-11-22 0:00:00,"Hi, @Brenda.Udacity,How you guys gonna evaluate scholars on the basis of part one.What is the criteria? Only successful completion? Or any other consideration?",Grace.Udacity,Hi @Asad Arshad! Scholars who move on to Phasee 2 complete their course 100% and participate in Slack in our Community Programming (we’re launching some of them on Monday!)
18,RK,2019-11-22 0:00:00,@Brenda.Udacity How quick we finish the lessons will also be accounted for Phase 2?,Brenda.Udacity,"Hi @RK ! The only thing that matters is that all of your coursework is 100% completed by the March 5, 2020 deadline!"
19,Nilay,2019-11-22 0:00:00,If we do any extra project regarding this challenge course will we get some extra points for it for selection of 2nd round ??? @Brenda.Udacity,Brenda.Udacity,Hi @Nilay! See the reply @Asjas posted and LMK if you need more!
20,Yasir Janjua,2019-11-22 0:00:00,@Brenda.Udacity what should be the pace of study? all students are trying to finish challenge course asap. but does it count to finish first?,Brenda.Udacity,Hi @Yasir Janjua! The only thing that matters is completion by March 5th - no advantages to finishing early except having more time to help your classmates!!
21,Fabho,2019-11-22 0:00:00,Can we create or can you create study groups channels with similar time zones? @Brenda.Udacity @Jordan.Udacity @Grace.Udacity,Jordan.Udacity,"Hey @Fabho sure can, we'll be sharing details/tips about study groups Monday! "
22,Yasir Janjua,2019-11-22 0:00:00,@Spyros P How to apply for Technical Moderator?,Brenda.Udacity,"Hi @Yasir Janjua We'll post all the details including how to apply on Monday, November 25th! Hope you will!"
23,Jonathan Garrels,2019-11-22 0:00:00,"Dear team, provided one would get selected for phase two, when would the nanodegree approximately start (in which month)? Just for planning the next semester ",Brenda.Udacity,"Hi @Jonathan Garrels! Thanks for asking! After the March 5, deadline we normally take a week to notify students and then give you a week off  So estimate starting end of March!"
24,Akshay,2019-11-22 0:00:00,Will we have a chance to interact with a DevOps engineer to know more about their daily work scenarios?,Grace.Udacity,Hi @Akshay! We’d love to have something like this happen! We’ll definitely keep this idea in mind
25,Tim Wong,2019-11-22 0:00:00,Will pinned posts get auto archived at a certain point since this is a free tier of slack?,Brenda.Udacity,Hi @Tim Wong! This is a free tier Slack so definitely save posts that you find valuable!
26,François BIBARD,2019-11-22 0:00:00,"Hi, @Brenda.Udacity, in case you are a beginner in IT dev / cloud like I am, do you suggest any preliminary course to improve the chance to succeed ? or the challenge course could be self sufficient ?",Brenda.Udacity,Hi @François BIBARD Welcome! Definitely recommend asking this in the #tech_help channel as there are a wide variety of students with deeper backgrounds who I'm sure would be happy to give you guidance on this!
28,Nilay,2019-11-22 0:00:00,@Brenda.Udacity I am contributing now for on average 10-20 replies and questions per day due to my University exams going on so is it okay if I continue this till 10/12/2019 ??? If not then pls reply so i will try my best to increasy working hours ...,Grace.Udacity,"Hi @Nilay! We definitely don’t want you to bend over backwards to keep a steady rate of replies, we just want you to have engaging, productive, and helpful conversations with each other!"
29,Sergei Cherniaev,2019-11-22 0:00:00,"There is a calendar on the site classroom, is it necessary to schedule and follow it? Or it’s just to help me stay more organized?",Brenda.Udacity,"Hi @Sergei Cherniaev By chance are you referring to the Study Plan? If so, that is there for you to setup some good, consistent study habits so that you complete your coursework by the March 5, 2020 deadline. "
30,RK,2019-11-22 0:00:00,"@Brenda.Udacity,Could you please notify the meeting time in EST as well. It's bit confusing.",Brenda.Udacity,Hi @RK We'll add all of our events to the Cloud Calendar on our Google site so you can convert it to your time zone!
31,Aniket Chaudhary,2019-11-22 0:00:00,@Brenda.Udacity where i can see the green and red light as u mentioned~,Jordan.Udacity,right now it's a green light. we will put a red light if we need time to catch up! @Aniket Chaudhary
32,hoda salah zaki,2019-11-22 0:00:00,Hi @Brenda.Udacity  how can we win  nanodegree  what should we do,Grace.Udacity,"Hi @hoda salah zaki! To advance on to phase 2, we’ll need you to complete the course and be active in the community (Slack and community programming)!"
33,Andrea Salcedo,2019-11-22 0:00:00,@Brenda.Udacity Could you tell me more about the Study Groups?,Grace.Udacity,Hi @Andrea Salcedo! We’ll be launching all the information about Study Groups on Monday!
34,RK,2019-11-22 0:00:00,"@Brenda.Udacity, how do we get to know other members in the same region",Brenda.Udacity,Hi @RK! The eaiest way to find students in your region is definitely through a Study Group! We'll be sharing how to create and how to join a Study Group on Monday!
35,Vipul Sharma,2019-11-22 0:00:00,@Brenda.Udacity @Jordan.Udacity �Can you please share details on what basis would moderators for study groups be selected ?,Brenda.Udacity,Hi @Vipul Sharma I promise we'll share what we're looking for in our Channel and Tech Leaders on Monday when we roll out the program!
36,Nilay,2019-11-22 0:00:00,@Brenda.Udacity I want to apply for group leader. How can I do apply for it ???,Jordan.Udacity,Monday we will share with you how to apply @Nilay
37,Dayana Mick,2019-11-22 0:00:00,"@Brenda.Udacity �i feel there is a lot of noise in the channels. Would it be possible to give some guidelines for meaningful contributions, like some criteria ?",Grace.Udacity,"Hi @Dayana Mick, great question! I feel like a lot of the chaos is also because it’s the first week and everyone is excited!I don’t know if a criteria for meaningful conversations would be necessary but in terms of noise reduction I think reminding students to reply in threads would be very helpful. This helps to streamline conversations and makes it easier to go over conversations that may not interest you. Also, it is MUCH easier on the eyes!As for repetitive questions, I think it would be helpful to promote the Google site. I’m not sure if students realize that many of the FAQs answer their questions!"
38,Prabhjyot Gambhir,2019-11-22 0:00:00,@Brenda.Udacity @Jordan.UdacityI can see many people have questions regarding qualifying for the nanodegree program!How about Writing the criteria and pinning it up!,Brenda.Udacity,Hi @Prabhjyot Gambhir You can find all of  the information on our Bertelsmann Google site - Be sure to check out our Cloud Track page while you're there!http://bit.ly/bertelsmann-tech
39,Nilay,2019-11-22 0:00:00,@Brenda.Udacity How can i volunteer this chats ??,Jordan.Udacity,"Hi @Nilay if you're referring to volunteer as a channel moderator, then Monday we will be sending out information and signup!"
40,Schitiz Sharma,2019-11-22 0:00:00,"@Brenda.Udacity @Clayton.Udacity @Jordan.Udacity We would have this opportunity to be Channel Moderators and Technical Leaders, the selection for whom would be on Monday 25th. I would be unavailable on that day. Would I be able to apply for the same later maybe some other day down the week? If so whom should I approach and where?",Brenda.Udacity,Hi @Schitiz Sharma! We'll open applications on Monday and we'll keep them open all week  Details to come on Monday!
41,The Carver,2019-11-22 0:00:00,"Hey guys, why is everybody just so focused and obsessed about phase two yet even the orientation of phase one has not been done yet, I think in as much as we should focus on the end goal, it;s imperative that we also focus on phase 1 and give it the required attention, that's my two sense on this issue",Brenda.Udacity,Yes indeed . @The Carver!!
42,Roman Kurbanov,2019-11-22 0:00:00,It feels like a lot of people are trying to show their involvement and their activeness on Slack. Not so many who really want to study.,Brenda.Udacity,Hi @Roman Kurbanov You'll find as everyone dives into the course material that the conversation will turn more towards learning!
43,Aniket Chaudhary,2019-11-22 0:00:00,How can we Volunteer in tihs!,Jordan.Udacity,Hey @Aniket Chaudhary Applications open on Monday to volunteer!�(edited)�
44,ahsan,2019-11-22 0:00:00,"@Brenda.Udacity I couldn't attend the orientation but have checked the slides and liked the material there. I would also like to watch the recorded video, can you tell how long would it take to be available for students?",Grace.Udacity,"Hi @ahsan! We’ve run into some technical difficulties, so we’ll be uploading the video later on Monday! Thanks so much for your patience! "
45,sekinah,2019-11-22 0:00:00,how many AMA sessions are we going to be having and when are they going to be? @Brenda.Udacity @Grace.Udacity�(edited)�,Jordan.Udacity,Great advice from your peers here @sekinahThere will be another Monday and one more Tuesday!
46,John Schlegel,2019-11-22 0:00:00,"@Brenda.Udacity @Clayton.Udacity @Jordan.Udacity  Thank you all for the opportunity to be a part of this Phase 1.  I can see there is a lot of redundant questions, and I imagine it get's tiring answering the same questions repeatedly.  Everyone should have been able to answer 99% of these questions that are continuing to get asked - when it's already posted on the faqs.  If everyone would take a moment to read everything they were sent out prior to the course starting - it would reduce the redundant questions.  https://sites.google.com/udacity.com/bertelsmann-challenge/cloud-track/cloud-calendar https://sites.google.com/udacity.com/bertelsmann-challenge/overview/faqsI will continue to offer help, and attempt to link people and problems when I see relevant information that could assist someone else.�(edited)�",Grace.Udacity,"Hi @John Schlegel! Thanks so much for your help  We totally understand if students didn’t have a chance to thoroughly dive into our Challenge site, but as John said it’s a valuable resource and has many answers to the questions you’re curious about! Please take a look when you get a chance "
47,Sergei Cherniaev,2019-11-22 0:00:00,Is it possible to bring industry-leading experts for tech AMA sessions / workshops / zoom webinar like AWS engineer?,Brenda.Udacity,Hi @Sergei Cherniaev We are already talking with our Careers team on bringing someone in from this field to give a 1 hour webinar! We'll try to make it happen!
48,Susmitha,2019-11-22 0:00:00,When there will be a red light and our answers to our questions.  Just curious about answers,Brenda.Udacity,Hi @Sushmita! Thankfully this group is cool and breezy and we are able to keep up!
50,Dieter Jackson,2019-11-22 0:00:00,@Brenda.Udacity is possible to get a job as devops after �this challenge??,Brenda.Udacity,Hi @Dieter Jackson!  Consider this Challenge a starter to the skills you will need! Completing the full Nanondegree program (which has formal projects) is really what prepares you - that along with our excellent Career resources!!
51,Kathi Raja Ravindra,2019-11-22 0:00:00,Does it matter if we finish the course before the deadline? Will it have any impact on the qualification grade to next phase?,Brenda.Udacity,Hi @Kathi Raja Ravindra! The only thing that matters is that your Challenge coursework is 100% completed by the deadline! If you finish early we hope you'll use the time to help your classmates finish too!�(edited)�
52,John Schlegel,2019-11-22 0:00:00,"@Brenda.Udacity @Clayton.Udacity @Jordan.UdacityWhat is the best way I can support the others in Phase 1 in Slack?-Also -What is the a good rule of thumb to follow if I am feeling overwhelmed by the second item in the Course Criteria ""2. Level of participation and support of classmates in the student community""?",Brenda.Udacity,"Hi @John Schlegel!  Thanks for asking! I know it's easy to feel overwhelmed -especially during the first week when everything is buzzing at full speed! That said, things WILL die down, I promise you. For participating find a rhythm and participate in ways that feel right to you! We'll have our Student Leader program, there are also Study Groups, and upcoming Study Jams where you can volunteer your time. Please don't worry!   The fact that you're here now is a GREAT start!"
54,Sergei Cherniaev,2019-11-22 0:00:00,@Brenda.Udacity have you read the suggestion about muting this channel between sessions? It was high liked.�(edited)�,Brenda.Udacity,Hi @Sergei Cherniaev We've traditionally allowed each student to decide which channels they would like to mute. We will have a Channel Leader to help with this channel in the near future!
55,Nilay,2019-11-22 0:00:00,@Brenda.Udacity I am too much nervous about my selection for 2nd phase. Any advice for me like you would be having my track so should I increase my contribution ????,Brenda.Udacity,Hi @Nilay I agree 100% with @Tim Wong! Focus on the present and how you can help this community!
56,Ritesh Maharjan,2019-11-22 0:00:00,If you do get selected in the second phase are you suppose to complete the course in a fixed timeline? For example if you get busy in the middle of the course and have to take it off for few weeks then do we get kicked out of program?,Brenda.Udacity,Hi @Ritesh Maharjan! If you get selected for a full Scholarship you will have a deadline and you'll need to complete and pass all of your technical projects and pass or opt out of your career projects by that deadline to start the graduation process and receive your Nanodegree certificate!!
57,Yasir Janjua,2019-11-22 0:00:00,@Brenda.Udacity I'll transcribe these questions if you allow so you could put them to the site�(edited)�,Brenda.Udacity,"WOOOT! Thank you @Yasir Janjua for volunteering! If you would be so kind and DM me the link to your transcript when it's completed, I will put it on our Bertelsmann Google site! "
58,Ahmed,2019-11-22 0:00:00,"Hi @Brenda.Udacity, Is there any possibility to do an individual or a group project in this Challenge?",Jordan.Udacity,"Hey @Ahmed there isn't a project part of this phase, but we do encourage you to practice what you learn so if you'd like to form a group and create a project out of it, that'd be a great way to work with others!"
59,MayankSingh,2019-11-22 0:00:00,HI,Brenda.Udacity,Hi @MayankSingh ! Good to see you!
60,Ahmed,2019-11-22 0:00:00,Hi @Brenda.Udacity How the study groups will be formed? Based on geographic location or interest?,Brenda.Udacity,"Hi @Ahmed We've found it best to let the students themselves form their own Study Groups! That said, come Monday we'll post instructions on how to register your Study Group and how to join one! We've seen Study Groups form based on locations, interests, even skill levels! There truly will be something for everyone!�(edited)�"
64,Kenny Salaam,2019-11-22 0:00:00,"Hello @Brenda.UdacityPlease, what is the #ama_session channels for?Also, how many will be selected per track? is it 1600 per track or total from all track?",Brenda.Udacity,"Hi @Kenny Salaam! Every week we'll your Community team will host an AMA (Ask Me Anything) session in this channel to answer all of your non-technical and administrative questions. You can find the schedule on our Cloud Track page on the Google site!http://bit.ly/bertelsmann-tech. The 1,600 full scholarships that will be awarded at the end of Phase 1 will be proportionate to the number of students in each track!"
66,Schitiz Sharma,2019-11-22 0:00:00,Hey @Brenda.Udacity @Jordan.Udacity Can we share our own handwritten notes with everyone?�(edited)�,Brenda.Udacity,Hi @Schitiz Sharma please feel free to share your leanings with one another !
67,MayankSingh,2019-11-22 0:00:00,"Hi, i do have a very small doubt. When i was going though the AMA calender. I got this issue, it was showing change in dates when i attach the calender to my google account. which one i need to follow. @Brenda.Udacity @Clayton.Udacity @Grace.Udacity @Jordan.Udacity�(edited)�",Grace.Udacity,Hi @MayankSingh Asjas is right! Our calendar is in PST so feel free to follow yours  Thanks @Asjas Happy early birthday
68,Rao Kamran,2019-11-22 0:00:00,i have missed today session how i can get it??,Brenda.Udacity,Hi @Rao Kamran ! @Yasir Janjua has graciously volunteered to transcribe this session for us and we'll post it on our Cloud Track page on the Google site when it's ready!
69,Sergei Cherniaev,2019-11-22 0:00:00,"It’s used to be a forum for static information, slack with free plan with limited number of messages. Do we have any alternative to build some kind of knowledge base, place to share social network profiles, etc?",Brenda.Udacity,Hi @Sergei Cherniaev! Slack is our only platform for this Challenge but I do have our #resources channel with a link to an Airtable and I like @tamer’s suggestion as well!
71,Ahmed,2019-11-25 0:00:00,Hi @Brenda.Udacity what is the difference between study group and study jam?,Brenda.Udacity,Hi @Ahmed Great question! A Study Group is a group of people with similar interests who meet regularly. A Study Jam is a where ALL students come together for a designated period of time to study and lend support!
72,Manav (sigmapie8),2019-11-25 0:00:00,"@Brenda.Udacity Suppose more than 1.6K people complete the course and they're also active in the community, What's going to decide their selection for phase 2?",Jordan.Udacity,Community Participation will be the way to help decide in this case scenario @Manav (sigmapie8)
73,AudreyST,2019-11-25 0:00:00,"@Brenda.Udacity, the student leader app form is missing the option to select tech_help channel, even though it is mentioned in the form.",Brenda.Udacity,Oh goodness! Let me check that right after this session and fix it! Thanks @AudreyST!
74,Rao Kamran,2019-11-25 0:00:00,@Brenda.Udacity  does we  make  individual project or Project in  group?? On which basis our project evaluate??,Brenda.Udacity,"Hi @Rao Kamran While there are no projects in Phase 1 like @Nilay said, we encourage you to create a project to demonstrate what you have learned - it's also a great way to collaborate and meet other classmates!"
75,Iqbal Singh,2019-11-25 0:00:00,When one did not get selected for the phase 2 of the scholarship but one wants to take up that course. Would that be possible? If so would the course fee for phase 2 be same as the Nanodegrees program?,Brenda.Udacity,"Hi @Iqbal Singh! Yes indeed! Even if you're not selected for Phase 2, you can still enroll as a regular student in the Cloud DevOps Engineer Nanodegree program! The fee would be what's currently listed on our website! https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991"
76,Nilay,2019-11-25 0:00:00,@Brenda.Udacity @Palak.Udacity @Grace.Udacity @Clayton.Udacity @Jordan.Udacity  I will love to transcript today's ama Session if you allow me,Brenda.Udacity,That would be great! Thank you for volunteering and . letting us know @Nilay (edited) 
77,sparkinlife,2019-11-25 0:00:00,"Hello, can someone be a student leader as well as a tech leader?",Jordan.Udacity,"we'd love to give opportunities to those interested, therefore we'd encourage you to pick the one you're most interested in doing and that you'd feel you'd be most helpful in! @sparkinlife"
78,Sanjana Bharadwaj,2019-11-25 0:00:00,When is study jam?,Palak.Udacity,@Sanjana Bharadwaj Study Jams will be conducted in the coming month! Once you and other scholars have settled down in the challenge
80,Andrew Lawe,2019-11-25 0:00:00,"Brenda, how do I know who is in my time zone?",Brenda.Udacity,Hi @Andrew Lawe! If you're looking for fellow Study Group members in your Time Zone you can use the filters on on the Study Group Directory to look for yours.  p.s your last name is so similar to mine!
81,Leah Erb,2019-11-25 0:00:00,"I am unable to see the Study Groups Directory (table is empty), is there a better place to view Study Groups? https://sites.google.com/udacity.com/bertelsmann-challenge/cloud-track/cloud-study-groups",Palak.Udacity,"@Leah Erb Hey! Since we had floated the study groups only some time back, therefore you are unable to view any study groups in there yet.Go ahead and create one if you would like to or come back to see the directory in some time! "
83,Adi Nugroho,2019-11-25 0:00:00,Which channels are count as a contribution? Or are there any specific topic that counts as a contribution / help?,Brenda.Udacity,Hi @Adi Nugroho Think of this entire Slack community as your playground for contributing!
84,Pamela,2019-11-25 0:00:00,Will Be a kind of technical help? Like mentor o technical AMA?,Brenda.Udacity,Hi @Pamela ! We just opened up applications to be a Student Leader today. You can apply to be a Technical Leader in the #tech_help channel or a Channel Leader  for one of our other channels! If you're not selected don't despair! The beauty here is you can lend technical support to your classmates at anytime! If you're open to hosting a technical webinar let us know - we'd love that!
85,Alex,2019-11-25 0:00:00,Are folks expected to form private study groups by themselves or will this be initiated by the Community managers in some fashion?Is the participation in study groups mandatory for selection towards phase 2 anyway?,Brenda.Udacity,"Hi @Alex ! All Study Groups will be initiated by students and they are not mandatory for Phase 2! That said, if Study Groups are not for you we encourage you to look for other ways to contribute and participate in this amazing community!To read more about Study Groups, see our Cloud page here: http://bit.ly/cloud-studygroups"
86,Susmitha,2019-11-25 0:00:00,Is it necessary to participate in every ama sessions?,Palak.Udacity,"@Susmitha No it is not necessary to be a part of all the AMA sessions, but it would be great to join atleast one in about 7-10 days to keep yourself updated of all the things happening around in the community and also help others with what you can! "
87,syed zain gilani,2019-11-25 0:00:00,One person can join only one group or they can join numerous...,Jordan.Udacity,yes @syed zain gilani groups can be multiple people
88,Sanjana Bharadwaj,2019-11-25 0:00:00,What is criteria for selecting tech leader? I'm aware that person should dedicate 5-10 hrs a week,Brenda.Udacity,We'll be looking at every answer in the application to select the Student Leaders we believe will be the best in this role and be the best fit for each channel!
89,Andrew Lawe,2019-11-25 0:00:00,"Brenda, do you sum up all of each users response and questions at the end of the challenge course?",Brenda.Udacity,Hi @Andrew Lawe I'm sure you can understand that we do not divulge! We recommend focusing not on the process but on how you can best give to this community
90,Ola,2019-11-25 0:00:00,"@Brenda.Udacity can you share some statistics about how many people was interested (filled participation form) for each track and how many go selected for each track? We can see how many people joined Slack for our track, but that's not very accurate number. It would be really interesting to see what are the trends in tech world and what people are choosing",Brenda.Udacity,Hi @Ola Please understand that we do not share this information. Instead focus instead on learning and being an contributing member of this vibrant community!
91,Sohaib Tariq,2019-11-25 0:00:00,@Brenda.Udacity @Jordan.Udacity It would be awesome if you could share some sort of rubric that you'll use to evaluate community participation. i.e. what constitutes active participation ?  Perhaps this will prevent people from posting needlessly just to gain visibility and will allow us to focus more clearly on what matters,Brenda.Udacity,Hi @Sohaib Tariq Please see my answers above to Ola and Andrew  . TY!
92,Adi Nugroho,2019-11-25 0:00:00,Does attendance for a webinar session like orientation will be counted for advancing to phase 2?,Brenda.Udacity,"Hi @Adi Nugroho! Orientation attendance is not required! But it IS important to help you get the ""lay of the land"" so that you are successful in this Phase!"
96,Hamid Ali,2019-11-25 0:00:00,@Brenda.Udacity @Palak.Udacity I have created a group using the form provided but it is still not available in the google sheet on google site. I guess it will need an admin verification right?,Palak.Udacity,@Hamid Ali Thanks for flagging this! You should be able to view it now!
98,Andrew Lawe,2019-11-25 0:00:00,I am not finding the study group filters however i realize the study groups are still pending where you need at least 8 persons to join and then the approval process (edited) ,Brenda.Udacity,Hi @Andrew Lawe! You actually don't need 8 people to start a Study Group - you can start one with as little as one!http://bit.ly/cloud-studygroupscc @Palak for more on the filters
99,Lesliel,2019-11-25 0:00:00,@Brenda.Udacity will there be any new content for the challenging course?,Brenda.Udacity,"Hi @Lesliel! We won't be adding new content to the Challenge course. That said, if you find yourself finishing early look at it as an excellent opportunity to either a.) Review what you have learned b.) Create something that demonstrates what you have learned c) Use the time to help your classmates grasp the concepts and finish as well!"
100,Sohaib Tariq,2019-11-25 0:00:00,@Brenda.Udacity will community managers be evaluating community participation of students or will someone else ?,Jordan.Udacity,Yes it'll be us evaluating community participation @Sohaib Tariq
101,Susmitha,2019-11-25 0:00:00,"Did it take time to list the registered study groups in the study groups directory? Till now, i can't see the registered group in the directory",Brenda.Udacity,"Hi all! I haven't checked to see if we have any Study Groups registered yet , but they should be appearing if they are! cc @Palak"
102,Alex,2019-11-25 0:00:00,Can the course material be downloaded (videos & PDFs) or will the program access still work once the challenge course has ended?,Brenda.Udacity,"Hi @Alex and all! We recommend saving any course material before the program deadline of March 5, 2020 as it has not yet been confirmed if scholars will continue to have access post deadline!"
104,Sanjana Bharadwaj,2019-11-25 0:00:00,Concept of Beterlsmann Bingo card was  . Especially sharing photo of our study space,Brenda.Udacity,Fantastic feedback @Sanjana Bharadwaj You have @Jordan.Udacity to thank for Bingo!
105,Rao Kamran,2019-11-25 0:00:00,When will  you announce  #BINGO CHALLENGE WINNER?? @Brenda.Udacity,Jordan.Udacity,Yes @Rao Kamran Tuesday December 3!
107,Mo Ehab,2019-11-25 0:00:00,Are we able to access the course material  after the challenge ?,Brenda.Udacity,Hi @Mo Ehab! I would go with the notion that you will not be able to access the Challenge coursework post deadline until we can get final confirmation!
108,Talha Ahmed,2019-11-25 0:00:00,@Brenda.Udacity  just wanted to know that if we are active and not participate in ama sessions because many of the questions are already answered and no point in spamming does that count as participation as well ? Also I have seen many replies on a single post and no point in answering again so what should we do in that case ? Regards Talha Ahmed,Brenda.Udacity,"Hi @Talha Ahmed! I respect and appreciate your awareness about spamming! (or as Ionnis says, ""flooding""   Please know that answering questions is just one way to participate as you can also be a Student Leader or a Study Groups Organizer, you can volunteer during Study Jam or host a learning webinar. Think out of the box!  The sky is the limit! (edited) "
109,Andrew Lawe,2019-11-25 0:00:00,Is there chance for any of us to work with you guys at your company after we finish phase 2,Jordan.Udacity,we've had alumni apply to Udacity!I'd encourage you to check out our jobs pageand apply if you find something applicable - https://www.udacity.com/jobs#business-ops-strategy?location=all
110,Alex,2019-11-25 0:00:00,Hope it hasn't been asked before ...Was this challenge course offered last year as well and if so what was the experience like for students and evaluaters regarding the selection process? What were the arguments against selecting through exam results which would have been objective and transparent in my view?,Brenda.Udacity,Hi @Alex! We had a previous Bertelsmann Scholarship for Data in 2018. We've done numerous Scholarship programs with different variations of Phase 1 and this model you're in now has proven to provide an invaluable experience to scholars where cooperation and collaboration reign supreme and truly help prepare you for Phase 2. (edited) 
111,Harsh Hariya,2019-11-25 0:00:00,"The criteria Are 10% of the current Phase for Phase 2, So getting Really active here (Since Completing Course Is Mandatory) can be a Better choice or else what suggestion you might give",Brenda.Udacity,Hi @Harsh Hariya! You can find the selection criteria for Phase 2 on our Bertelsmann Google site and every  criteria is equal in weight to progressing on!http://bit.ly/bertelsmann-tech
112,Andrew Lawe,2019-11-25 0:00:00,"Brenda, How many persons work at your office?",Brenda.Udacity,Hi @Andrew Lawe ! I work out of our San Francisco offices (not our main headquarters in Mountain View) and the crew there is relatively small - on full days maybe 50+ people?
113,Nilay,2019-11-25 0:00:00,Hey @Brenda.Udacity I just want to thank you for providing us so much interacting community where you can learn with such great people .... Loving this,Brenda.Udacity,"Aw, thanks @Nilay! Your kind words definitely help keep us going (this is our 3rd AMA tonight!)"
114,Andrew Lawe,2019-11-25 0:00:00,@Jordan.Udacity How many exams (self-evaluations) are placed in this challenge course?,Jordan.Udacity,"In this course - Phase 1, there are no exams @Andrew Lawe "
115,Rao Kamran,2019-11-25 0:00:00,"@Brenda.Udacity  Does Student, leader and Tech helper have  some advantage  for selection in next phase?",Brenda.Udacity,Hi @Rao Kamran What counts most is genuine and meaningful participation!
116,Leah Erb,2019-11-25 0:00:00,It appears that the Study Groups Directory is now working! (edited) ,Brenda.Udacity,Hooray! Wonderful news @Leah Erb! Thanks for letting us know!
117,Harsh Hariya,2019-11-25 0:00:00,3rd Quesrtion is Study Grps may include you as well ?,Jordan.Udacity,yes they can! @Harsh Hariya
118,Adi Nugroho,2019-11-25 0:00:00,"I have requested a study group, a slack channel and itâ€™s based on a location. Letâ€™s say my request is accepted. Does the discussion in this channel counts as a contribution too, because we might discuss using our local language (non English)?",Brenda.Udacity,Hi @Adi Nugroho!  English is the primary language for this program but don't let that stop you from hosting your Study Group in your native language - especially if that will benefit your Study Group members!
119,Andrew Lawe,2019-11-25 0:00:00,@Brenda.Udacity Does gotomeeting have a whiteboard. just in case we need to have  a study jam and share live information,Brenda.Udacity,Hi @Andrew Lawe! I'm afraid I'm not familiar with gotomeeting
120,Sohaib Tariq,2019-11-25 0:00:00,@Brenda.Udacity why do you keep reacting to questions with the tiger emoji  ?,Brenda.Udacity,"Ah - you caught me! We use an emoji system so we don't accidentally grab a question another CM is working on  I use the Tiger because yes, as @Asjas says they are amazing (and all the men in my life are Tigers under the Chinese zodiac) "
122,Benita Ojugo Ekene-Okikere,2019-11-25 0:00:00,@Brenda.Udacity can one get a compiled video for this course so as to make reference to it later.,Palak.Udacity,@Benita Ojugo Ekene-Okikere I think @Rao Kamran here just answered your question! Look for the video zip files in the resources section in the Challenge Course
